CDU,SPD,GrÃ¼ne,FDP,AfD,Linke,Unnamed: 0,Stadtteilname,Piraten
27.24,14.11,20.76,19.77,5.96,8.50,,,
21.38,15.25,26.57,15.31,5.08,11.56,,,
23.98,15.35,22.36,17.55,5.88,10.34,,,
23.63,17.47,22.04,15.41,6.83,10.18,,,
21.02,16.77,25.40,13.20,5.74,12.41,,,
21.70,18.34,23.27,11.09,7.43,12.32,,,
27.74,17.99,17.23,12.19,9.27,9.27,,,
19.35,17.86,25.01,10.53,6.66,14.17,,,
25.08,17.29,20.69,13.00,8.00,10.60,,,
29.05,19.40,13.57,11.43,11.91,8.16,,,
26.24,20.99,12.73,10.44,12.76,9.92,,,
27.09,16.62,17.40,15.70,9.16,8.77,,,
31.47,15.89,15.19,16.71,9.32,6.89,,,
27.10,19.12,14.48,11.20,12.36,9.60,,,
34.55,15.62,14.62,13.79,9.61,6.36,,,
30.09,19.59,12.71,10.52,12.16,8.62,,,
24.23,18.92,17.64,10.71,10.02,11.60,,,
26.45,15.56,20.74,12.99,8.35,10.27,,,
30.62,16.62,15.12,14.35,10.55,7.58,,,
31.87,17.18,13.88,12.55,10.42,8.11,,,
30.55,16.55,17.45,14.12,8.93,7.41,,,
34.23,17.21,12.00,11.32,11.92,7.05,,,
36.72,16.27,12.92,12.51,10.17,5.96,,,
31.20,18.37,10.96,11.00,14.68,7.74,,,
27.71,17.82,16.83,10.86,9.83,10.24,,,
27.91,17.30,17.40,13.20,9.42,9.16,,,
34.15,10.96,16.96,24.20,3.74,6.01,,,
26.05,12.55,24.53,18.49,3.77,9.67,,,
28.65,13.05,21.35,20.91,4.12,7.25,,,
29.36,15.24,20.12,18.00,4.80,7.29,,,
26.55,14.05,24.27,16.03,4.58,8.80,,,
26.99,15.14,22.50,12.32,5.84,10.30,,,
32.71,15.99,17.10,12.93,7.35,7.56,,,
22.81,14.94,24.85,13.55,4.80,11.91,,,
30.73,15.09,19.08,15.72,5.71,7.68,,,
33.75,16.16,13.33,13.08,9.52,7.14,,,
31.61,16.73,14.64,13.61,8.73,7.46,,,
31.48,14.14,16.70,19.08,6.69,6.45,,,
36.33,13.35,13.93,19.72,6.71,4.98,,,
34.88,15.64,13.67,12.96,8.88,6.75,,,
38.39,13.46,13.29,15.84,8.00,4.72,,,
34.72,17.05,12.59,12.16,9.32,7.09,,,
28.82,15.09,19.14,12.35,7.91,9.05,,,
31.64,14.28,19.61,15.25,5.96,7.74,,,
35.64,13.77,14.54,16.16,8.01,6.25,,,
37.46,14.88,13.48,14.15,8.25,5.69,,,
36.43,14.30,15.85,15.21,6.84,5.77,,,
39.31,15.30,11.68,11.64,9.89,5.37,,,
40.65,13.01,12.84,14.07,8.52,4.77,,,
38.65,15.58,10.74,12.08,10.64,5.68,,,
31.76,16.17,16.16,11.95,8.00,8.63,,,
32.75,14.64,16.98,15.57,6.94,7.09,,,
30.60,12.58,18.91,21.93,4.88,7.29,,,
23.56,13.99,25.62,16.79,4.47,10.68,,,
