,Stadtteilname,CDU,SPD,Grüne,FDP,AfD,Linke,Piraten
0,01 StB Altstadt ohne Johannstadt,26,12,10,12,12,19,0
1,01 StB Altstadt ohne Johannstadt,21,11,6,15,16,22,0
2,01 StB Altstadt ohne Johannstadt,30,12,6,9,13,18,0
3,01 StB Altstadt ohne Johannstadt,26,15,7,9,11,20,0
4,01 StB Altstadt ohne Johannstadt,19,12,9,5,18,25,1
5,01 StB Altstadt ohne Johannstadt,22,9,7,7,20,21,1
6,01 StB Altstadt ohne Johannstadt,29,13,4,8,24,16,0
7,01 StB Altstadt ohne Johannstadt,25,12,9,12,13,18,0
8,01 StB Altstadt ohne Johannstadt,32,10,7,10,16,16,1
9,01 StB Altstadt ohne Johannstadt,22,13,5,11,21,17,0
10,01 StB Altstadt ohne Johannstadt,22,12,4,8,23,20,1
11,01 StB Altstadt ohne Johannstadt,29,13,5,10,19,16,0
12,01 StB Altstadt ohne Johannstadt,24,12,6,9,25,15,0
13,01 StB Altstadt ohne Johannstadt,28,11,7,11,14,20,0
14,01 StB Altstadt ohne Johannstadt,25,13,5,9,16,22,0
15,01 StB Altstadt ohne Johannstadt,18,12,11,19,14,15,1
16,01 StB Altstadt ohne Johannstadt,22,11,8,11,19,20,0
17,01 StB Altstadt ohne Johannstadt,21,12,4,7,26,18,0
18,01 StB Altstadt ohne Johannstadt,22,14,5,8,24,19,0
19,01 StB Altstadt ohne Johannstadt,20,9,4,5,26,25,1
20,01 StB Altstadt ohne Johannstadt,23,9,4,8,25,24,0
21,01 StB Altstadt ohne Johannstadt,22,9,14,9,10,20,2
22,01 StB Altstadt ohne Johannstadt,24,10,12,8,11,18,2
23,01 StB Altstadt ohne Johannstadt,20,11,9,10,19,17,0
24,01 StB Altstadt ohne Johannstadt,12,10,11,9,13,27,2
25,01 StB Altstadt ohne Johannstadt,17,10,15,10,14,22,0
26,01 StB Altstadt ohne Johannstadt,13,10,6,8,24,22,2
27,02 Johannstadt,26,10,6,9,15,23,1
28,02 Johannstadt,22,12,14,9,9,23,0
29,02 Johannstadt,26,11,13,10,13,18,0
30,02 Johannstadt,24,10,3,7,25,20,0
