Stadt,Jahr,Wahlart,Kolumna1,Stadtteil zus.,Wahlberechtigte,Wahlberechtigte mit WS,Wähler,Wähler mit WS,Stimmen gültig,Stimmen CDU,Stimmen SPD,Stimmen Die Linke,Stimmen Grüne,Stimmen FDP,Stimmen AfD,Stimmen Piraten,Stimmen ungültig
Dresden,2017,Bundestagswahl,,01 Innere Altstadt,0,0,411,411,410,110,51,81,44,51,51,0,1
Dresden,2017,Bundestagswahl,,01 Innere Altstadt,1328,422,642,0,637,134,73,141,44,100,108,0,5
Dresden,2017,Bundestagswahl,,02 Pirnaische Vorstadt,0,0,694,694,690,213,85,125,45,63,94,4,4
Dresden,2017,Bundestagswahl,,02 Pirnaische Vorstadt,0,0,424,424,422,110,67,87,33,40,49,3,2
Dresden,2017,Bundestagswahl,,02 Pirnaische Vorstadt,1433,346,691,0,684,130,84,173,62,40,124,8,7
Dresden,2017,Bundestagswahl,,02 Pirnaische Vorstadt,1775,453,828,3,814,184,76,173,60,64,170,12,14
Dresden,2017,Bundestagswahl,,02 Pirnaische Vorstadt,1422,369,655,1,647,189,85,106,28,53,158,3,8
Dresden,2017,Bundestagswahl,,03 Seevorstadt-Ost,0,0,596,596,596,151,74,110,56,75,83,4,0
Dresden,2017,Bundestagswahl,,03 Seevorstadt-Ost,0,0,809,809,806,260,82,131,59,88,132,13,3
Dresden,2017,Bundestagswahl,,03 Seevorstadt-Ost,1259,282,596,2,587,132,77,101,33,66,125,1,9
Dresden,2017,Bundestagswahl,,03 Seevorstadt-Ost,1258,332,643,2,636,140,79,130,26,56,150,12,7
Dresden,2017,Bundestagswahl,,03 Seevorstadt-Ost,1126,272,606,1,599,175,79,99,30,63,116,4,7
Dresden,2017,Bundestagswahl,,03 Seevorstadt-Ost,1932,569,965,4,954,234,121,147,58,93,243,5,11
Dresden,2017,Bundestagswahl,,04 Wilsdruffer Vs./Seevs.-West,0,0,1023,1023,1015,287,112,209,81,114,147,8,8
Dresden,2017,Bundestagswahl,,04 Wilsdruffer Vs./Seevs.-West,0,0,717,717,715,184,96,161,38,68,115,7,2
Dresden,2017,Bundestagswahl,,04 Wilsdruffer Vs./Seevs.-West,1151,405,538,1,538,102,69,82,62,103,77,6,0
Dresden,2017,Bundestagswahl,,04 Wilsdruffer Vs./Seevs.-West,1239,337,541,1,534,122,61,107,43,62,104,4,7
Dresden,2017,Bundestagswahl,,04 Wilsdruffer Vs./Seevs.-West,1299,309,671,0,657,141,85,122,32,50,171,6,14
