GebietsartschlÌ_ssel;Gebietsnummer;Stimmbezirksart;Wahlberechtigte gesamt;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im WÌ_hlerverzeichnis;WÌ_hler gesamt;WÌ_hler mit Wahlschein;UngÌ_ltige Stimmen;Anzahl CSU;Anteil CSU;Anzahl SPD;Anteil SPD;Anzahl GRÌÏNE;Anteil GRÌÏNE;Anzahl FDP;Anteil FDP;Anzahl AfD;Anteil AfD;Anzahl DIE LINKE;Anteil DIE LINKE;Anzahl FREIE WÌãHLER;Anteil FREIE WÌãHLER;Anzahl PIRATEN;Anteil PIRATEN;Anzahl ÌÐDP;Anteil ÌÐDP;Anzahl BP;Anteil BP;Anzahl NPD;Anteil NPD;Anzahl Tierschutzpartei;Anteil Tierschutzpartei;Anzahl MLPD;Anteil MLPD;Anzahl BÌ_So;Anteil BÌ_So;Anzahl BGE;Anteil BGE;Anzahl DiB;Anteil DiB;Anzahl DKP;Anteil DKP;Anzahl DM;Anteil DM;Anzahl Die PARTEI;Anteil Die PARTEI;Anzahl Gesundheitsforschung;Anteil Gesundheitsforschung;Anzahl V-Parteiå_;Anteil V-Parteiå_
BTSB;1;11;13614;7831;5783;0;5681;110;12;1544;27,24%;800;14,11%;1177;20,76%;1121;19,77%;338;5,96%;482;8,50%;24;0,42%;13;0,23%;36;0,64%;6;0,11%;5;0,09%;39;0,69%;2;0,04%;1;0,02%;14;0,25%;16;0,28%;1;0,02%;5;0,09%;32;0,56%;4;0,07%;9;0,16%
BTSB;2;11;32221;19049;13167;5;14153;272;52;3015;21,38%;2151;15,25%;3746;26,57%;2159;15,31%;717;5,08%;1630;11,56%;64;0,45%;59;0,42%;77;0,55%;42;0,30%;5;0,04%;71;0,50%;9;0,06%;3;0,02%;43;0,30%;81;0,57%;3;0,02%;18;0,13%;177;1,26%;5;0,04%;26;0,18%
BTSB;3;11;34632;19983;14645;4;14899;355;36;3564;23,98%;2282;15,35%;3324;22,36%;2608;17,55%;874;5,88%;1537;10,34%;96;0,65%;57;0,38%;97;0,65%;29;0,20%;6;0,04%;86;0,58%;11;0,07%;1;0,01%;28;0,19%;34;0,23%;1;0,01%;28;0,19%;163;1,10%;6;0,04%;31;0,21%
BTSB;4;11;45881;27631;18249;1;20507;358;68;4829;23,63%;3571;17,47%;4504;22,04%;3150;15,41%;1395;6,83%;2080;10,18%;136;0,67%;66;0,32%;161;0,79%;61;0,30%;17;0,08%;120;0,59%;10;0,05%;5;0,02%;35;0,17%;67;0,33%;3;0,01%;15;0,07%;176;0,86%;9;0,04%;29;0,14%
BTSB;5;11;39651;23853;15797;1;17810;362;64;3730;21,02%;2976;16,77%;4508;25,40%;2342;13,20%;1019;5,74%;2203;12,41%;126;0,71%;92;0,52%;143;0,81%;66;0,37%;6;0,03%;126;0,71%;7;0,04%;6;0,03%;51;0,29%;59;0,33%;4;0,02%;22;0,12%;211;1,19%;16;0,09%;33;0,19%
BTSB;6;11;25650;16150;9498;2;11679;170;52;2523;21,70%;2132;18,34%;2706;23,27%;1290;11,09%;864;7,43%;1433;12,32%;87;0,75%;46;0,40%;79;0,68%;50;0,43%;8;0,07%;100;0,86%;7;0,06%;3;0,03%;41;0,35%;55;0,47%;3;0,03%;24;0,21%;152;1,31%;10;0,09%;14;0,12%
BTSB;7;11;35813;23377;12436;0;16076;163;74;4439;27,74%;2879;17,99%;2757;17,23%;1950;12,19%;1484;9,27%;1484;9,27%;164;1,02%;101;0,63%;136;0,85%;83;0,52%;17;0,11%;154;0,96%;5;0,03%;5;0,03%;32;0,20%;69;0,43%;1;0,01%;13;0,08%;177;1,11%;19;0,12%;33;0,21%
BTSB;8;11;16391;10667;5724;0;7574;144;50;1456;19,35%;1344;17,86%;1882;25,01%;792;10,53%;501;6,66%;1066;14,17%;58;0,77%;46;0,61%;51;0,68%;29;0,39%;6;0,08%;75;1,00%;3;0,04%;4;0,05%;20;0,27%;45;0,60%;1;0,01%;17;0,23%;103;1,37%;6;0,08%;19;0,25%
BTSB;9;11;63111;38527;24580;4;28092;474;101;7019;25,08%;4841;17,29%;5792;20,69%;3640;13,00%;2238;8,00%;2968;10,60%;203;0,73%;114;0,41%;246;0,88%;137;0,49%;23;0,08%;206;0,74%;5;0,02%;9;0,03%;74;0,26%;77;0,28%;7;0,03%;40;0,14%;277;0,99%;28;0,10%;47;0,17%
BTSB;10;11;30732;20834;9897;1;13749;133;66;3975;29,05%;2655;19,40%;1857;13,57%;1564;11,43%;1630;11,91%;1117;8,16%;157;1,15%;62;0,45%;109;0,80%;114;0,83%;9;0,07%;140;1,02%;6;0,04%;6;0,04%;27;0,20%;32;0,23%;7;0,05%;19;0,14%;140;1,02%;28;0,20%;29;0,21%
