,Stadt,Stadtteilname,CDU,SPD,Grüne,FDP,AfD,Linke,Piraten
0,München,1.0,27.24,14.11,20.7,19.77,5.96,8.5,0.23
1,München,2.0,21.38,15.25,26.5,15.31,5.08,11.56,0.42
2,München,3.0,23.98,15.35,22.3,17.55,5.88,10.34,0.38
3,München,4.0,23.63,17.47,22.0,15.41,6.83,10.18,0.32
4,München,5.0,21.02,16.77,25.4,13.2,5.74,12.41,0.52
5,München,6.0,21.7,18.34,23.2,11.09,7.43,12.32,0.4
6,München,7.0,27.74,17.99,17.2,12.19,9.27,9.27,0.63
7,München,8.0,19.35,17.86,25.0,10.53,6.66,14.17,0.61
8,München,9.0,25.08,17.29,20.6,13.0,8.0,10.6,0.41
9,München,10.0,29.05,19.4,13.5,11.43,11.91,8.16,0.45
10,München,11.0,26.24,20.99,12.7,10.44,12.76,9.92,0.61
11,München,12.0,27.09,16.62,17.4,15.7,9.16,8.77,0.46
12,München,13.0,31.47,15.89,15.1,16.71,9.32,6.89,0.36
13,München,14.0,27.1,19.12,14.4,11.2,12.36,9.6,0.46
14,München,15.0,34.55,15.62,14.6,13.79,9.61,6.36,0.48
15,München,16.0,30.09,19.59,12.7,10.52,12.16,8.62,0.64
16,München,17.0,24.23,18.92,17.6,10.71,10.02,11.6,0.53
17,München,18.0,26.45,15.56,20.7,12.99,8.35,10.27,0.49
18,München,19.0,30.62,16.62,15.1,14.35,10.55,7.58,0.4
19,München,20.0,31.87,17.18,13.8,12.55,10.42,8.11,0.49
20,München,21.0,30.55,16.55,17.4,14.12,8.93,7.41,0.31
21,München,22.0,34.23,17.21,12.0,11.32,11.92,7.05,0.61
22,München,23.0,36.72,16.27,12.9,12.51,10.17,5.96,0.43
23,München,24.0,31.2,18.37,10.9,11.0,14.68,7.74,0.49
24,München,25.0,27.71,17.82,16.8,10.86,9.83,10.24,0.48
25,München,162.0,27.91,17.3,17.4,13.2,9.42,9.16,0.46
26,München,1.0,34.15,10.96,16.9,24.2,3.74,6.01,0.19
27,München,2.0,26.05,12.55,24.5,18.49,3.77,9.67,0.38
28,München,3.0,28.65,13.05,21.3,20.91,4.12,7.25,0.34
29,München,4.0,29.36,15.24,20.1,18.0,4.8,7.29,0.44
30,München,5.0,26.55,14.05,24.2,16.03,4.58,8.8,0.37
31,München,6.0,26.99,15.14,22.5,12.32,5.84,10.3,0.4
32,München,7.0,32.71,15.99,17.1,12.93,7.35,7.56,0.36
33,München,8.0,22.81,14.94,24.8,13.55,4.8,11.91,0.68
34,München,9.0,30.73,15.09,19.0,15.72,5.71,7.68,0.34
35,München,10.0,33.75,16.16,13.3,13.08,9.52,7.14,0.41
36,München,11.0,31.61,16.73,14.6,13.61,8.73,7.46,0.56
37,München,12.0,31.48,14.14,16.7,19.08,6.69,6.45,0.38
38,München,13.0,36.33,13.35,13.9,19.72,6.71,4.98,0.28
39,München,14.0,34.88,15.64,13.6,12.96,8.88,6.75,0.41
40,München,15.0,38.39,13.46,13.2,15.84,8.0,4.72,0.32
41,München,16.0,34.72,17.05,12.5,12.16,9.32,7.09,0.41
42,München,17.0,28.82,15.09,19.1,12.35,7.91,9.05,0.47
43,München,18.0,31.64,14.28,19.6,15.25,5.96,7.74,0.25
44,München,19.0,35.64,13.77,14.5,16.16,8.01,6.25,0.28
45,München,20.0,37.46,14.88,13.4,14.15,8.25,5.69,0.36
46,München,21.0,36.43,14.3,15.8,15.21,6.84,5.77,0.35
47,München,22.0,39.31,15.3,11.6,11.64,9.89,5.37,0.42
48,München,23.0,40.65,13.01,12.8,14.07,8.52,4.77,0.3
49,München,24.0,38.65,15.58,10.7,12.08,10.64,5.68,0.37
50,München,25.0,31.76,16.17,16.1,11.95,8.0,8.63,0.37
51,München,162.0,32.75,14.64,16.9,15.57,6.94,7.09,0.37
52,München,1.0,30.6,12.58,18.9,21.93,4.88,7.29,0.21
53,München,2.0,23.56,13.99,25.6,16.79,4.47,10.68,0.4
54,München,3.0,26.21,14.25,21.8,19.15,5.04,8.86,0.36
55,München,4.0,26.24,16.45,21.1,16.59,5.9,8.86,0.38
56,München,5.0,23.51,15.54,24.8,14.47,5.22,10.79,0.45
57,München,6.0,23.99,16.95,22.9,11.63,6.74,11.45,0.4
58,München,7.0,29.84,17.15,17.1,12.5,8.46,8.55,0.52
59,München,8.0,20.78,16.65,24.9,11.78,5.89,13.23,0.64
60,München,9.0,27.62,16.3,19.9,14.23,6.96,9.29,0.38
61,München,10.0,30.95,18.09,13.4,12.1,10.95,7.75,0.44
62,München,11.0,28.29,19.36,13.4,11.65,11.22,8.98,0.59
63,München,12.0,29.07,15.51,17.0,17.22,8.05,7.73,0.42
64,München,13.0,33.64,14.76,14.6,18.05,8.16,6.04,0.32
65,München,14.0,30.4,17.65,14.1,11.95,10.89,8.39,0.44
66,München,15.0,36.06,14.77,14.1,14.6,8.97,5.72,0.42
67,München,16.0,31.92,18.59,12.6,11.16,11.04,8.02,0.55
68,München,17.0,26.16,17.31,18.2,11.4,9.13,10.53,0.5
69,München,18.0,28.76,14.99,20.2,14.0,7.29,9.14,0.39
70,München,19.0,32.77,15.4,14.8,15.12,9.46,7.01,0.35
71,München,20.0,34.09,16.27,13.7,13.18,9.56,7.15,0.44
72,München,21.0,33.01,15.61,16.7,14.58,8.06,6.73,0.33
73,München,22.0,36.11,16.5,11.8,11.44,11.17,6.43,0.54
74,München,23.0,38.29,14.97,12.8,13.14,9.51,5.48,0.38
75,München,24.0,33.95,17.34,10.8,11.4,13.19,6.98,0.45
76,München,25.0,29.42,17.13,16.5,11.32,9.06,9.56,0.43
77,München,162.0,29.97,16.17,17.2,14.21,8.37,8.28,0.42
78,Frankfurt,Altstadt,26.3,17.6,14.6,15.2,8.3,13.0,0.5
