,Jahr,Wahlart,Wahlbezirk,Stadtteil zus.,Stadtraum,Stadtbezirk mit zugeordneten Ortschaften,Wahl-Form,Wahlberechtigte,Wahlberechtigte mit WS,W_hler,W_hler mit WS,Stimmen gôltig,Stimmen CDU,Stimmen SPD,Stimmen Die Linke,Stimmen Grône,Stimmen FDP,Stimmen Rechte Parteien,Stimmen AfD,Stimmen Piraten,Stimmen sonstiger Parteien,Stimmen ungôltig
0,2017,Bundestagswahl,1000,01 Innere Altstadt,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Brief,0,0,411,411,410,110,51,81,44,51,1,51,0,21,1
1,2017,Bundestagswahl,1100,01 Innere Altstadt,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1328,422,642,0,637,134,73,141,44,100,1,108,0,36,5
2,2017,Bundestagswahl,2001,02 Pirnaische Vorstadt,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Brief,0,0,694,694,690,213,85,125,45,63,3,94,4,58,4
3,2017,Bundestagswahl,2002,02 Pirnaische Vorstadt,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Brief,0,0,424,424,422,110,67,87,33,40,2,49,3,31,2
4,2017,Bundestagswahl,2100,02 Pirnaische Vorstadt,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1433,346,691,0,684,130,84,173,62,40,8,124,8,55,7
5,2017,Bundestagswahl,2200,02 Pirnaische Vorstadt,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1775,453,828,3,814,184,76,173,60,64,7,170,12,68,14
6,2017,Bundestagswahl,2400,02 Pirnaische Vorstadt,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1422,369,655,1,647,189,85,106,28,53,2,158,3,23,8
7,2017,Bundestagswahl,3001,03 Seevorstadt-Ost,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Brief,0,0,596,596,596,151,74,110,56,75,1,83,4,42,0
8,2017,Bundestagswahl,3002,03 Seevorstadt-Ost,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Brief,0,0,809,809,806,260,82,131,59,88,4,132,13,37,3
9,2017,Bundestagswahl,3100,03 Seevorstadt-Ost,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1259,282,596,2,587,132,77,101,33,66,4,125,1,48,9
10,2017,Bundestagswahl,3200,03 Seevorstadt-Ost,01 StB Altstadt ohne Johannstadt,StB 0 Altstadt,Wahlbezirk_Urne,1258,332,643,2,636,140,79,130,26,56,3,150,12,40,7
