Stadtteilnummer;Stadtteilname;Wahlberechtigte ohne Sperrvermerk;Anteil Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Anteil Wahlberechtigte mit Sperrvermerk;Wahlberechtigte insgesamt;Anteil Wahlberechtigte insgesamt;Wähler;Anteil Wähler;darunter Wähler mit Wahlschein;Anteil darunter Wähler mit Wahlschein;ungültige Stimmen;Anteil ungültige Stimmen;gültige Stimmen;Anteil gültige Stimmen;CDU;Anteil CDU;SPD;Anteil SPD;GRÜNE;Anteil GRÜNE;DIE LINKE;Anteil DIE LINKE;AfD;Anteil AfD;FDP;Anteil FDP;PIRATEN;Anteil PIRATEN;NPD;Anteil NPD;FREIE WÄHLER;Anteil FREIE WÄHLER;Die PARTEI;Anteil Die PARTEI;BüSo;Anteil BüSo;MLPD;Anteil MLPD;BGE;Anteil BGE;DKP;Anteil DKP;DM;Anteil DM;ÖDP;Anteil ÖDP;Tierschutzpartei;Anteil Tierschutzpartei;V-Partei_;Anteil V-Partei_
1;Altstadt;1627;73,2;595;26,8;2222;100;1662;74,8;572;34,4;6;0,4;1656;100;435;26,3;291;17,6;241;14,6;216;13;137;8,3;252;15,2;8;0,5;6;0,4;7;0,4;32;1,9;0;0;0;0;5;0,3;0;0;4;0,2;5;0,3;13;0,8;4;0,2
2;Innenstadt;2263;71,6;899;28,4;3162;100;2136;67,6;854;40;18;0,8;2118;100;551;26;324;15,3;318;15;291;13,7;165;7,8;359;16,9;15;0,7;6;0,3;5;0,2;43;2;1;0;2;0,1;3;0,1;0;0;9;0,4;4;0,2;14;0,7;8;0,4
4;Westend-Süd;7139;62,8;4227;37,2;11366;100;9636;84,8;4044;42;42;0,4;9594;100;3032;31,6;1146;11,9;1306;13,6;647;6,7;598;6,2;2680;27,9;14;0,1;4;0;14;0,1;56;0,6;2;0;2;0;15;0,2;1;0;10;0,1;15;0,2;36;0,4;16;0,2
5;Westend-Nord;4064;69,3;1804;30,7;5868;100;4615;78,6;1721;37,3;28;0,6;4587;100;1317;28,7;729;15,9;744;16,2;432;9,4;239;5,2;1020;22,2;17;0,4;3;0,1;6;0,1;33;0,7;1;0;1;0;4;0,1;3;0,1;7;0,2;6;0,1;17;0,4;8;0,2
6;Nordend-West;13527;67,3;6562;32,7;20089;100;17068;85;6322;37;85;0,5;16983;100;4302;25,3;2649;15,6;3414;20,1;2168;12,8;873;5,1;3011;17,7;83;0,5;9;0,1;39;0,2;196;1,2;4;0;4;0;45;0,3;9;0,1;13;0,1;31;0,2;95;0,6;38;0,2
7;Nordend-Ost;10751;70,2;4564;29,8;15315;100;12684;82,8;4364;34,4;77;0,6;12607;100;2614;20,7;2216;17,6;2981;23,6;2098;16,6;567;4,5;1650;13,1;45;0,4;6;0;26;0,2;207;1,6;3;0;13;0,1;37;0,3;6;0;6;0;22;0,2;88;0,7;22;0,2
8;Ostend;12545;72,1;4845;27,9;17390;100;13544;77,9;4633;34,2;104;0,8;13440;100;3179;23,7;2610;19,4;2508;18,7;1906;14,2;850;6,3;1834;13,6;70;0,5;14;0,1;44;0,3;198;1,5;2;0;11;0,1;35;0,3;7;0,1;21;0,2;24;0,2;105;0,8;22;0,2
9;Bornheim;14539;74,5;4968;25,5;19507;100;15242;78,1;4760;31,2;137;0,9;15105;100;3352;22,2;3230;21,4;2762;18,3;2430;16,1;1024;6,8;1641;10,9;58;0,4;16;0,1;62;0,4;224;1,5;3;0;12;0,1;54;0,4;13;0,1;19;0,1;30;0,2;148;1;27;0,2
10;Gutleut-/Bahnhofsviertel;3593;73;1328;27;4921;100;3648;74,1;1263;34,6;42;1,2;3606;100;772;21,4;561;15,6;662;18,4;596;16,5;255;7,1;607;16,8;15;0,4;4;0,1;8;0,2;69;1,9;1;0;5;0,1;9;0,2;0;0;4;0,1;11;0,3;20;0,6;7;0,2
11;Gallus;13638;75,3;4475;24,7;18113;100;12471;68,9;4299;34,5;126;1;12345;100;3008;24,4;2238;18,1;1654;13,4;1566;12,7;1176;9,5;2141;17,3;64;0,5;21;0,2;46;0,4;183;1,5;0;0;33;0,3;33;0,3;5;0;34;0,3;21;0,2;98;0,8;24;0,2
