,Stadtteilname,CDU,SPD,Grüne,FDP,AfD,Linke,Piraten
0,1,"24,8","21,6","14,5","16,1","8,9","7,5","6,6"
1,2,"29,4","21,5","8,9","13,8","12,6","7,6","6,2"
2,3,"32,4","23,6","6,6","11,4","14,6",7,"4,4"
3,4,"27,6","16,6","8,3","9,7","27,6","6,2",4
4,5,"29,3","20,5","7,8","15,8","13,2","6,7","6,7"
5,6,"23,5","10,5","15,2","26,8","6,3","3,5","14,2"
6,7,"28,7","19,9","9,2",18,10,"5,4","8,8"
7,8,"10,4","4,9","16,6",42,"4,9","3,9","17,3"
8,9,"29,8","24,5","10,8","11,8",10,"7,3","5,8"
9,10,"19,8","13,1","21,1","27,9","5,3","5,3","7,5"
10,11,"13,7","11,4","25,9","34,9","2,3","4,8",7
11,12,"19,3","11,5","24,8","29,1","3,8","5,1","6,4"
12,13,"19,6","14,7","26,2",25,"2,9","6,8","4,8"
13,14,"23,5","17,7","20,3","20,1","5,7","7,6","5,1"
14,15,"15,6","33,6","18,6","8,7","3,9","17,6",2
15,16,"15,6","31,2","18,2","9,1","4,5","19,3","2,1"
16,17,"31,9","22,7","8,3","12,8","11,9","7,3","5,1"
17,18,"26,4","27,6","12,3","10,5","9,7","10,4","3,1"
18,19,"12,6",39,"15,3","5,7","4,2","21,4","1,8"
19,20,"14,1","34,7","17,4","6,6","6,1","19,6","1,5"
20,21,"26,6","26,6","15,1",11,7,"10,7",3
21,22,"22,3","26,8","16,7","10,1","8,7",12,"3,4"
22,23,18,"33,2","14,3","9,2","7,2","15,4","2,7"
23,24,"19,6","17,7","26,1","20,3","3,6","7,3","5,4"
24,25,"15,8","24,5","22,6","14,9","4,7","14,6","2,9"
25,26,"16,6","27,3","18,9","10,8","4,2","19,2",3
26,27,20,"19,3","24,7","17,5","3,6","10,4","4,5"
27,28,"23,8",26,"17,6","12,3","5,9","10,7","3,7"
28,29,"25,5","29,7","12,9","9,4",8,"11,1","3,4"
29,30,"26,8","28,4","11,4","10,1","8,9",11,"3,4"
