,Stadtteilname,CDU,SPD,Grüne,FDP,AfD,Linke,Piraten
0,1,"27,24%","14,11%","20,76%","19,77%","5,96%","8,50%","0,23%"
1,2,"21,38%","15,25%","26,57%","15,31%","5,08%","11,56%","0,42%"
2,3,"23,98%","15,35%","22,36%","17,55%","5,88%","10,34%","0,38%"
3,4,"23,63%","17,47%","22,04%","15,41%","6,83%","10,18%","0,32%"
4,5,"21,02%","16,77%","25,40%","13,20%","5,74%","12,41%","0,52%"
5,6,"21,70%","18,34%","23,27%","11,09%","7,43%","12,32%","0,40%"
6,7,"27,74%","17,99%","17,23%","12,19%","9,27%","9,27%","0,63%"
7,8,"19,35%","17,86%","25,01%","10,53%","6,66%","14,17%","0,61%"
8,9,"25,08%","17,29%","20,69%","13,00%","8,00%","10,60%","0,41%"
9,10,"29,05%","19,40%","13,57%","11,43%","11,91%","8,16%","0,45%"
10,11,"26,24%","20,99%","12,73%","10,44%","12,76%","9,92%","0,61%"
11,12,"27,09%","16,62%","17,40%","15,70%","9,16%","8,77%","0,46%"
12,13,"31,47%","15,89%","15,19%","16,71%","9,32%","6,89%","0,36%"
13,14,"27,10%","19,12%","14,48%","11,20%","12,36%","9,60%","0,46%"
14,15,"34,55%","15,62%","14,62%","13,79%","9,61%","6,36%","0,48%"
15,16,"30,09%","19,59%","12,71%","10,52%","12,16%","8,62%","0,64%"
16,17,"24,23%","18,92%","17,64%","10,71%","10,02%","11,60%","0,53%"
17,18,"26,45%","15,56%","20,74%","12,99%","8,35%","10,27%","0,49%"
18,19,"30,62%","16,62%","15,12%","14,35%","10,55%","7,58%","0,40%"
19,20,"31,87%","17,18%","13,88%","12,55%","10,42%","8,11%","0,49%"
20,21,"30,55%","16,55%","17,45%","14,12%","8,93%","7,41%","0,31%"
21,22,"34,23%","17,21%","12,00%","11,32%","11,92%","7,05%","0,61%"
22,23,"36,72%","16,27%","12,92%","12,51%","10,17%","5,96%","0,43%"
23,24,"31,20%","18,37%","10,96%","11,00%","14,68%","7,74%","0,49%"
24,25,"27,71%","17,82%","16,83%","10,86%","9,83%","10,24%","0,48%"
25,162,"27,91%","17,30%","17,40%","13,20%","9,42%","9,16%","0,46%"
26,1,"34,15%","10,96%","16,96%","24,20%","3,74%","6,01%","0,19%"
27,2,"26,05%","12,55%","24,53%","18,49%","3,77%","9,67%","0,38%"
28,3,"28,65%","13,05%","21,35%","20,91%","4,12%","7,25%","0,34%"
29,4,"29,36%","15,24%","20,12%","18,00%","4,80%","7,29%","0,44%"
30,5,"26,55%","14,05%","24,27%","16,03%","4,58%","8,80%","0,37%"
31,6,"26,99%","15,14%","22,50%","12,32%","5,84%","10,30%","0,40%"
32,7,"32,71%","15,99%","17,10%","12,93%","7,35%","7,56%","0,36%"
33,8,"22,81%","14,94%","24,85%","13,55%","4,80%","11,91%","0,68%"
34,9,"30,73%","15,09%","19,08%","15,72%","5,71%","7,68%","0,34%"
35,10,"33,75%","16,16%","13,33%","13,08%","9,52%","7,14%","0,41%"
36,11,"31,61%","16,73%","14,64%","13,61%","8,73%","7,46%","0,56%"
37,12,"31,48%","14,14%","16,70%","19,08%","6,69%","6,45%","0,38%"
38,13,"36,33%","13,35%","13,93%","19,72%","6,71%","4,98%","0,28%"
39,14,"34,88%","15,64%","13,67%","12,96%","8,88%","6,75%","0,41%"
40,15,"38,39%","13,46%","13,29%","15,84%","8,00%","4,72%","0,32%"
41,16,"34,72%","17,05%","12,59%","12,16%","9,32%","7,09%","0,41%"
42,17,"28,82%","15,09%","19,14%","12,35%","7,91%","9,05%","0,47%"
43,18,"31,64%","14,28%","19,61%","15,25%","5,96%","7,74%","0,25%"
44,19,"35,64%","13,77%","14,54%","16,16%","8,01%","6,25%","0,28%"
45,20,"37,46%","14,88%","13,48%","14,15%","8,25%","5,69%","0,36%"
46,21,"36,43%","14,30%","15,85%","15,21%","6,84%","5,77%","0,35%"
47,22,"39,31%","15,30%","11,68%","11,64%","9,89%","5,37%","0,42%"
48,23,"40,65%","13,01%","12,84%","14,07%","8,52%","4,77%","0,30%"
49,24,"38,65%","15,58%","10,74%","12,08%","10,64%","5,68%","0,37%"
50,25,"31,76%","16,17%","16,16%","11,95%","8,00%","8,63%","0,37%"
51,162,"32,75%","14,64%","16,98%","15,57%","6,94%","7,09%","0,37%"
52,1,"30,60%","12,58%","18,91%","21,93%","4,88%","7,29%","0,21%"
53,2,"23,56%","13,99%","25,62%","16,79%","4,47%","10,68%","0,40%"
54,3,"26,21%","14,25%","21,88%","19,15%","5,04%","8,86%","0,36%"
55,4,"26,24%","16,45%","21,16%","16,59%","5,90%","8,86%","0,38%"
56,5,"23,51%","15,54%","24,89%","14,47%","5,22%","10,79%","0,45%"
57,6,"23,99%","16,95%","22,94%","11,63%","6,74%","11,45%","0,40%"
58,7,"29,84%","17,15%","17,18%","12,50%","8,46%","8,55%","0,52%"
59,8,"20,78%","16,65%","24,95%","11,78%","5,89%","13,23%","0,64%"
60,9,"27,62%","16,30%","19,97%","14,23%","6,96%","9,29%","0,38%"
61,10,"30,95%","18,09%","13,47%","12,10%","10,95%","7,75%","0,44%"
62,11,"28,29%","19,36%","13,46%","11,65%","11,22%","8,98%","0,59%"
63,12,"29,07%","15,51%","17,08%","17,22%","8,05%","7,73%","0,42%"
64,13,"33,64%","14,76%","14,63%","18,05%","8,16%","6,04%","0,32%"
65,14,"30,40%","17,65%","14,14%","11,95%","10,89%","8,39%","0,44%"
66,15,"36,06%","14,77%","14,10%","14,60%","8,97%","5,72%","0,42%"
67,16,"31,92%","18,59%","12,66%","11,16%","11,04%","8,02%","0,55%"
68,17,"26,16%","17,31%","18,27%","11,40%","9,13%","10,53%","0,50%"
69,18,"28,76%","14,99%","20,24%","14,00%","7,29%","9,14%","0,39%"
70,19,"32,77%","15,40%","14,87%","15,12%","9,46%","7,01%","0,35%"
71,20,"34,09%","16,27%","13,72%","13,18%","9,56%","7,15%","0,44%"
72,21,"33,01%","15,61%","16,78%","14,58%","8,06%","6,73%","0,33%"
73,22,"36,11%","16,50%","11,88%","11,44%","11,17%","6,43%","0,54%"
74,23,"38,29%","14,97%","12,89%","13,14%","9,51%","5,48%","0,38%"
75,24,"33,95%","17,34%","10,88%","11,40%","13,19%","6,98%","0,45%"
76,25,"29,42%","17,13%","16,55%","11,32%","9,06%","9,56%","0,43%"
77,162,"29,97%","16,17%","17,22%","14,21%","8,37%","8,28%","0,42%"
